Patent/Practical Model,Title,Abstract,Claim,Number of Claims,Application Number,Application Date,Year,Public Number,Public Date,Registeration Number,Registeration Date,Applicant,Inventor,Original CPC All,CPC,WIPS ON key
P,COMPUTER BASED AIDS FOR INDEPENDENT LIVING AND HEALTH,"The invention herein primarily concerns computer interfaces, particularly those that may be used by those persons who are not familiar and even adverse to computers as they are utilized today. It is particularly concerned with easy to use devices to facilitate the use by senior citizens, widows, and others to use email, computerized banking, and telehealth services. Preferred embodiments utilize TV cameras to sense information pasted to, entered on or pointed to on a page which operation may be done in the home, a vehicle, at work or the like. In a vehicle the invention offers a low cost and convenient method for passengers wearing seat belts to interact with rear sear located displays for entertainment, navigation and telematics.","1. Apparatus for entering data into a computer, comprising: a base item providing general identify information; an object with additional information, which object is removably attached to said base item by a user; a housing, having an opening for insertion by the user of said base item with the additional information thereon; a TV camera within said housing for imaging the general identify information provided by said base item and also for imaging the additional information of the removable object, when said base item is placed into said opening in said housing; a storage means for storing a database concerning at least a portion of the general identify information of said base item and the additional information of said object; a comparing means for comparing the identity information imaged by said TV camera of said base item with identity information of said base item in said database to determine an identity of said base item, and entry means to enter data into a computer, based on the identify information of said comparison, corresponding to at least a portion of the additional information of said object.",20,12/719433,2010-03-08,2010,2010-0194976,2010-08-05,,,,PETER H. SMITH | TIMOTHY R. PRYOR,,,5.41E+12
P,Graphical interface for a remote presence system,A robot system that includes a mobile robot and a portable control station that communicate through a cellular network. Utilizing a cellular network allows the control station to be a portable device such as a laptop computer or a personal digital assistant.,"1. A robot system, comprising: a mobile robot that has a mobile base and a head that moves a monitor and a camera that captures an image; and, a portable control station that is coupled to said mobile robot to receive and display said captured image, said portable control station includes a single input that allows a user to select one of a plurality of different modes, one of said modes allows a user to move said robot base through said single input and another mode allows the user to move said robot head through said single input.",20,11/360235,2006-02-22,2006,2007-0198130,2007-08-23,7769492,2010-08-03,"InTouch Technologies, Inc.",Yulun Wang | Charles S. Jordan | Marco Pinter | Greg Brallier | Jon Mears,,,4.91E+12
P,Remote presence display through remotely controlled robot,"A robot system that includes a robot and a remote station. The robot and remote station contain monitors, cameras, speakers and microphones that allow for two-way videoconferencing between a physician at the remote station and a patient in the vicinity of the robot. The system also includes a patient monitor that displays patient information such as an x-ray. The patient monitor can be seen by the patient, and by the physician through the robot camera. The system allows for a physician to remotely review the medical information with the patient.","1. A medical system for a patient, comprising: a patient monitor that displays patient information; a mobile robot that has a robot monitor, and a robot camera that captures an image, said robot camera being capable of viewing the patient and said patient monitor; and a remote station that is coupled to said mobile robot, said remote station includes a remote station monitor that displays the image captured by said robot camera and a remote station camera that captures an image that is displayed by said robot monitor.",13,11/542912,2006-10-03,2006,2008-0082211,2008-04-03,7761185,2010-07-20,"InTouch Technologies, Inc.",Yulun Wang | Charles S. Jordan | Marco Pinter | Michael C. Chan,,,4.91E+12
P,Implementation of collaborative telecommunications services,"This invention relates to methods and apparatus for establishing the flexible connections required to serve collaborative Telestar service requests. Telestar refers to services frequently described as being Tele* services such as teleeducation, teleconsultation and telemedicine. A customer node, such as a doctor's office, is connected via a high speed link to a switch which in turn is connected to a broadband network for interconnecting high speed links. The broadband network is connected to a Telestar service provider node. The customer signals requests for connections within the Telestar service provider nodes. These requests are processed by a Tele* service controller to generate request messages to the source and destination nodes to establish a requested connection. Advantageously, the highly flexible arrangements needed for providing optimum Telestar service can be readily controlled by a calling customer.","1. A method for providing high speed collaborative Telestar service comprising the steps of: implementing a Telestar application layer in a signaling system; in a source intelligent customer node, responsive to receipt of request from a customer, generating signaling messages for requesting a bearer connection to a at least one destination intelligent customer node for carrying out a requested function; in said source intelligent customer node, generating Telestar application originating messages to indicate destinations of ones of a plurality of data streams of said bearer channel transmitted from the source intelligent customer node for carrying out said requested function; transmitting said Telestar application messages to a Telestar Service Controller; processing said Telestar application originating messages in said Telestar Service Controller to generate Telestar application terminating messages for transmission to said destination intelligent customer node and to said source intelligent customer node to carry out said selected function; in the source and destination intelligent customer nodes, responsive to receipt of said terminating Telestar messages, controlling establishment of a connection from the source intelligent customer node to the selected destination intelligent customer node.",19,11/005966,2004-12-07,2004,2008-0008304,2008-01-10,7693523,2010-04-06,Alcatel-Lucent USA Inc.,Douglas Anthony Deutsch | Bonnie P. Hitzeman,,,4.91E+12
P,Tele-medicine system that transmits an entire state of a subsystem,"A tele-medicine system that includes an input device which can control a medical system. The input device may be the handle of a surgeon console. The medical system may include a robotically controlled medical device. A transmitter may transmit information relating to each state of the input device over a communication network. The medical system receives the transmitted state information through a receiver. The medical system changes state in response to the received state information from the input device. The system sends information relating to an entire state of the input device over a sample period to insure that the medical system receives all commands, data, etc. necessary to operate the system.","1. A tele-medicine system, comprising: a surgical instrument; a robotic arm for manipulating the surgical instrument; a first input device manipulatable by a first surgeon; a second input device manipulatable by a second surgeon; and a control system responsive to forward transmitted packets of information including destination fields indicative of the surgical instrument and data fields including sampled states of the first and second input devices to manipulate the surgical instrument according to a convex combination of the sampled states.",14,11/134041,2005-05-19,2005,2006-0047365,2006-03-02,7682357,2010-03-23,"Intuitive Surgical, Inc.",Modjtaba Ghodoussi | Steve E. Butner,,,4.91E+12
P,Telemedicine platform for standardized interpretation of vascular data using vascular analysis,"A system and method, for obtaining and analyzing vascular data and generating results, that uses vascular test data to determine the state of the vessel. The data and the determinations can be used to generate reports, render diagnoses or identifying ailments, and may do so remotely. The system includes a telemedicine server and may include a number of other modules such as work stations, review tools, data storage modules, etc. The invention allows rapid and efficient analysis of the data, and provides mechanisms for comparing patient data to know or measured normative data sets, remotely if desired, and provides more accurate and less invasive diagnoses based on vascular conditions. The invention permits remote receipt, processing and distribution of the data and diagnoses.","1. A system for obtaining and analyzing vascular test data, the system comprising: a vascular test data source capable of providing source data; a receiving unit coupled to the data source and capable of receiving said source data and capable of processing said source data to generate processed data; at least one station coupled to the receiving unit, the station permitting review of said processed data; wherein the receiving unit includes a processor to affect said processing; wherein said processing includes executing vascular analysis algorithms on said source data to identify features of interest in said data and thereby identify vascular states; and wherein at least one of the test data source, the receiving unit and the at least one station is located remote from the other of said at least one of the test data source, the receiving unit and the at least one station.",24,12/230800,2008-09-04,2008,2010-0063395,2010-03-11,,,,B. Robert Mozayeni | Kevin E. Crutchfield | Barret W. Hildebrand | Martin A. Cannon | Larry J. Goldstein | William Hogenauer | Emad Ibrahim,,,5.41E+12
P,POINT TO MULTI-POINT MEDICAL COMMUNICATION MATRIX,A method including at least one processor coupled to a computing device and linked to a plurality of databases on which records are stored for contacting a medical professional by a user of the computing device comprises the steps of: activating a service software program by operating an icon on the computing device to perform a function of locating a medical professional; searching for the medical professional; and providing video consults by telemedicine by establishing communication between said medical professional and said user of the computing device upon locating said medical professional.,1. A method including at least one processor coupled to a computing device and linked to a plurality of databases on which records are stored for contacting a medical professional by a user of the computing device comprising the steps of: activating a service software program by operating an icon on the computing device to perform a function of locating a medical professional; searching for the medical professional; and providing video consults by telemedicine by establishing communication between said medical professional and said user of the computing device upon locating said medical professional.,20,12/432744,2009-04-29,2009,2009-0271378,2009-10-29,,,,Jonathon Bradley Witherspoon,,,5.41E+12
P,TELEMEDICINE SYSTEM AND METHOD,"The telemedicine system and method includes an ubiquitous telephone and interactive voice response (IVR) system configured to interface with a hub, and in some embodiments, with medical sensor devices directly. The system and method allows an interested party to interface with the hub using a telephone. The system and method eliminates a user interface from the hub, and optionally includes a separate server.","1. A system for collecting physiological data from a remote patient and retrieving the physiological data, the system comprising: a hub in wireless communication with a medical sensor device, the hub including a data repository system and an interactive voice response (IVR) system; and a first telephone in communication with the IVR system of the hub, such that a patient receives a set of instructions from the IVR through the first telephone, wherein the set of instructions prompt the user to self administer the collection of a set of physiological data with the medical sensor device and requires the patient to confirm each of a plurality of steps in the set of instructions with a user interface of the first telephone.",39,12/098730,2008-04-07,2008,2009-0252306,2009-10-08,,,THE GENERAL ELECTRIC COMPANY,David James Bates | David Wayne Duckert,,,5.41E+12
P,Remote presence system mounted to operating room hardware,"A robot system that includes a remote station and a robot face. The robot face includes a camera that is coupled to a monitor of the remote station and a monitor that is coupled to a camera of the remote station. The robot face and remote station also have speakers and microphones that are coupled together. The robot face may be coupled to a boom. The boom can extend from the ceiling of a medical facility. Alternatively, the robot face may be attached to a medical table with an attachment mechanism. The robot face and remote station allows medical personnel to provide medical consultation through the system.","1. A tele-presence system, comprising: a boom; a robot face coupled to said boom, said robot face including a robot monitor, a robot camera, a robot speaker and a robot microphone; and, a remote station that is coupled to said robot face, said remote station includes a station monitor, a station camera, a station speaker and a station microphone.",23,12/151740,2008-05-07,2008,2009-0240371,2009-09-24,,,,Yulun Wang | Charles S. Jordan | Marco Pinter | Daniel Steven Sanchez | Kevin Hanrahan,,,5.41E+12
P,Tele-robotic videoconferencing in a corporate environment,"A business to business mobile teleconferencing system. The system includes a mobile robot that can be remotely operated from a remote station. Both the robot and the remote station may have a camera, a screen, a microphone and a speaker to conduct a teleconference between a user at the remote station and personnel located in viewing proximity of the robot.","1. A method for conducting a business tele-conference, comprising: moving a robot that has a screen, a camera, a speaker and a microphone, across a surface of a business facility with at least one signal from a first remote station that has a screen, a camera, a speaker and a microphone; transmitting images and sound between the first robot and the first remote station and displaying the image captured by the remote station camera on the robot screen; moving the robot across the surface of the business facility with at least one signal from a second remote station that has a screen, a camera, a speaker and a microphone; transmitting images and sound between the robot and the second remote station; and, arbitrating to control access to the robot by either the first remote station or the second remote station.",14,10/966539,2004-10-15,2004,2006-0082642,2006-04-20,7593030,2009-09-22,"InTouch Technologies, Inc.",Yulun Wang | Charles S. Jordan | Jonathan Southard | Marco Pinter,,,4.91E+12
P,METHODS AND APPARATUS FOR CONTEXT-SENSITIVE TELEMEDICINE,"A system for context-sensitive medical communication is described. Patient presentation data is obtained, the patient presentation data is mapped to biological system data, wherein the biological system data are obtained by a population-based comparison, and a relevance-driven summary is generated. Following the primary read, the study can be compressed and transmitted remotely, such as in teleconsultation described below. The imaging study can be provided by patient presentation mapping to medical nomenclature, and mapping the patient study to an appropriate normalized atlas which has been created by averaging and morphing as well as quantification and providing labels which have come from data mining of reports.","1. A method for processing context-sensitive patient data, the method comprising: obtaining patient presentation data; mapping the patient presentation data to biological system data, wherein the biological system data are obtained by a population-based comparison; and generating a relevance-driven summary.",24,12/092687,2006-11-09,2006,2009-0228299,2009-09-10,,,The Regents of the University of California,Hooshang Kangarloo | Usha Sinha | Ricky Taira | Alexander Bui,,,5.41E+12
P,MEDICATION COMPLIANCE MANAGEMENT SYSTEM,"Methods and systems tell patients when to take their medications, control medication dispensing based on compliance to the prescribed dosage, and determine that the proper dosage has been taken. This system integrates with other devices related to home telehealth by including support for a world-wide web-based medical record associating the patient, his/her medication requirements or prescription, compliance with that prescription, and other associated medical telemetry data that may be used to determine patient response to said medication.","1. A medication compliance management system, comprising: a base station including a first communications interface; and a pill dispensing cap adapted to replace the cap of a standard pill vial, the pill dispensing cap including: a pill transfer mechanism operative to load a single pill from the vial and dispense that pill to a user, and an interface configured to communicate with the base station and inform the base station that the single pill has been dispensed.",12,12/026117,2008-02-05,2008,2009-0192648,2009-07-30,,,Cybernet Systems Corporation,Pavan K. Namineni | James Burkowski | Charles J. Jacobus | Joe Long | Gary Siebert | Trevor Davey,,,5.41E+12
P,METHOD AND APPARATUS FOR CLEANING A TELEMEDICINE STATION,"Apparatus and method for cleaning a telemedicine booth include identifying a custodian in the booth, providing visual and/or audio prompting or instructions on cleaning the booth, receiving input from the custodian regarding the status of the cleaning performed on the booth, and transmitting information regarding the cleaning of the booth to a remote computer system. The method and apparatus further include providing an ultra-violet light source in the booth and activating the light source to reduce the growth of harmful bacteria, or kill bacteria. An alert/notification may be sent to a custodian that the booth needs or could use cleaning.","1. Apparatus comprising: a telemedicine booth including a computer, video display, one or more data input devices, and a data storage device; and one or more computer programs adapted to execute on the computer to display cleaning instructions on the video display to provide visual instructions regarding acts to be performed to clean the booth.",15,11/967986,2007-12-31,2007,2009-0167838,2009-07-02,,,,David I. Poisner | Kenny B. Bailey,,,5.41E+12
P,"APPARATUSES, SYSTEMS AND METHODS FOR ENHANCING TELEMEDICINE","A telesuite is provided which includes a camera rotatable about at least one axis, the camera being rotatably mounted to a fixed structure. A plurality of predetermined viewing positions are also provide, each of which includes a predetermined coordinate upon which the camera is focused. A camera controller is configured to rotate the camera to view a designated one of the predetermined viewing positions upon receipt of a control signal corresponding to the designated one of the predetermined viewing positions.","1. A telesuite comprising: a camera rotatable about at least one axis, said camera being rotatably mounted to a fixed structure; a plurality of predetermined viewing positions, each of said predetermined viewing positions comprising a predetermined coordinate upon which the camera is focused; and a camera controller configured to rotate said camera to view a designated one of the predetermined viewing positions upon receipt of a control signal corresponding to the designated one of the predetermined viewing positions, wherein said camera is rotatable about at least two axes, wherein said at least two axes comprise a substantially horizontal axis and a substantially vertical axis, and wherein one of said plurality of predetermined viewing positions comprises a radiograph viewing area.",20,12/367355,2009-02-06,2009,2009-0167842,2009-07-02,,,,GURPAL SANDHU,,,5.41E+12
P,"Telemedicine Application for Remote Monitoring, Viewing and Updating of Patient Records","Systems and methods of providing telemedicine services are provided. A system can include a medical device that obtains diagnostic information, a gateway device coupled to the medical device, an application server coupled to the gateway device via wired and wireless networks, a database coupled to the application server, the database storing the diagnostic information, and an analyzing device coupled to the database, the analyzing device analyzes records in the database to identify diagnostic information that exceeds predefined thresholds.","1. A method for delivering telemedicine services, the method comprising: obtaining, by a medical device, diagnostic information; discovering, by the medical device, a gateway device; establishing, by the medical device, a connection with the gateway device; establishing, by the medical device, a session with the gateway device; and transferring, by the medical device, the diagnostic information to the gateway device.",20,12/269162,2008-11-12,2008,2009-0146822,2009-06-11,,,Elevate Technologies Pty Ltd.,Hesham Soliman,,,5.41E+12
P,Automated Diagnostic Kiosk for Diagnosing Diseases,"An automated and autonomous diagnostic apparatus that is capable of dispensing collection vials and collections kits to users interesting in collecting a biological sample and submitting their collected sample contained within a collection vial into the apparatus for automated diagnostic services. The user communicates with the apparatus through a touch-screen monitor. A user is able to enter personnel information into the apparatus including medical history, insurance information, co-payment, and answer a series of questions regarding their illness, which is used to determine the assay most likely to yield a positive result. Remotely-located physicians can communicate with users of the apparatus using video tele-medicine and request specific assays to be performed. The apparatus archives submitted samples for additional testing. Users may receive their assay results electronically. Users may allow the uploading of their diagnoses into a central databank for disease surveillance purposes.","1. An automated diagnostic apparatus for analyzing vials containing samples from users, comprising: a body unit, an automated diagnostic instrument in said body unit that analyzes sample vials and produces diagnoses for users, a movable vial acquisition unit in said body unit that transfers sample vials from the users to the said automated diagnostic instrument, and a control in said body unit that is connected to said movable vial acquisition unit and said automated diagnostic instrument.",27,12/039069,2008-02-28,2008,2009-0137047,2009-05-28,,,,John Frederick Regan | James Michael Birch,,,5.41E+12
P,Telemedicine Device and System,"The present invention is provided a telemedicine device and system, and the telemedicine device and system comprise at least a computer system and a channel-selecting device, wherein the computer system can connect with the internet and have at least one expanded module to connect with a plurality of periphery devices. The telemedicine system is combined with healthcare system, information system, equipment system and homecare system to put the government policies ¡°aging in place¡± and ¡°aging at home¡± into practice, and also provide the elders healthier, safer, more respectful, more comfortable and more convenient life qualities, and maintain the elders' health.","1. telemedicine device, comprises: a computer system, which is connected to the Internet and is provided with a first expanded module and a second expanded module, wherein the first expanded module and the second expanded module are connected to a display device; a first periphery device, which is connected to said computer system by the first expanded module to measure a first data of human body, wherein the first data are transmitted to said computer system; a second periphery device, which is connected to said computer system by the second expanded module to measure a second data of human body, wherein the second data are transmitted to the computer system; and a touch screen device, which is applied to show said first date and said second date and to transmit a selected signal to said computer system in order to switch on and off between the first data and the second data.",21,12/262416,2008-10-31,2008,2009-0112070,2009-04-30,,,,Yen-Shan LIN | Han-Wei Zhang,,,5.41E+12
P,Medical Tele-Robotic System,"A robotic system that includes a remote controlled robot. The robot may include a camera, a monitor and a holonomic platform all attached to a robot housing. The robot may be controlled by a remote control station that also has a camera and a monitor. The remote control station may be linked to a base station that is wirelessly coupled to the robot. The cameras and monitors allow a care giver at the remote location to monitor and care for a patient through the robot. The holonomic platform allows the robot to move about a home or facility to locate and/or follow a patient.","86. A robotic system, comprising: a robot that includes a camera and a microphone; and, a control station that controls said robot, said control station includes a speaker that is coupled to said robot microphone and generates a stereophonic sound.",7,12/344959,2008-12-29,2008,2009-0105881,2009-04-23,,,"INTOUCH TECHNOLOGIES, INC.",Yulun Wang | Keith Phillip Laby | Charles S. Jordan | Steven Edward Butner | Jonathan Southard,,,5.41E+12
P,Medical Tele-Robotic System,"A robotic system that includes a remote controlled robot. The robot may include a camera, a monitor and a holonomic platform all attached to a robot housing. The robot may be controlled by a remote control station that also has a camera and a monitor. The remote control station may be linked to a base station that is wirelessly coupled to the robot. The cameras and monitors allow a care giver at the remote location to monitor and care for a patient through the robot. The holonomic platform allows the robot to move about a home or facility to locate and/or follow a patient.","86. A robotic system, comprising: a robot that includes a camera and a monitor; and, a control station that can control said robot and allow a service personnel to remotely service said robot.",15,12/345161,2008-12-29,2008,2009-0105882,2009-04-23,,,"INTOUCH TECHNOLOGIES, INC.",Yulun Wang | Keith Phillip Laby | Charles S. Jordan | Steven Edward Butner | Jonathan Southard,,,5.41E+12
P,System for vision examination utilizing telemedicine,"The telemedicine method and system disclosed includes at least one remote exam module which in turn includes a plurality of optical devices configured to examine a patient's eye, and a controller for collecting and transmitting the examination data of the patient's eye. The information collected is transmitted via a communications link to a diagnostic center for analyzing the information collected at the remote exam module. The diagnostic center further maintains a database of patient records corresponding to the remotely collected examination information and an exam console for enabling a diagnosis based on the collected information.","1. A system for conducting a comprehensive eye examination from a remote location, comprising a plurality of eye examination devices selected from the group consisting of a case history capture device, lensometer, tonometer, visual fields tester, fundus camera, retinal imaging system, posterior segment imaging system, automated refractor, biomicroscope and corneal topographer located at an eye examination location that conducts a comprehensive eye examination, and providing and transmitting data from the comprehensive eye examination to a location remote from said eye examination location upon examining the eye of a patient; a diagnostic center situated in said remote location and capable of receiving transmitted eye examination data from said eye examination location to enable the diagnosis of an eye disorder or disease of the patient by a licensed eye care practitioner located at the diagnostic center, the diagnostic center including no eye examination devices; a communications link between the eye examination location and the remote location capable of carrying said transmitted eye examination data from the eye examination devices in the eye examination location to the diagnostic center in the remote location, thus permitting the licensed eye care practitioner to provide a diagnosis and prescription based on the eye examination data to the patient before the patient leaves the eye examination location, wherein said comprehensive eye examination data comprises at least two types of information selected from the group consisting of information provided by the patient; posterior segment information; refraction information; neutralization of the habitual prescription; tonometry information; blood pressure information; anterior segment information; corneal topography; and intraocular lens status.",16,11/789989,2007-04-25,2007,2007-0195267,2007-08-23,7520611,2009-04-21,,Richard Franz | John Weber,,,4.91E+12
P,"Apparatuses, systems and methods for enhancing telemedicine, video-conferencing, and video-based sales","A telesuite is provided which includes a camera rotatable about at least one axis, the camera being rotatably mounted to a fixed structure. A plurality of predetermined viewing positions are also provide, each of which includes a predetermined coordinate upon which the camera is focused. A camera controller is configured to rotate the camera to view a designated one of the predetermined viewing positions upon receipt of a control signal corresponding to the designated one of the predetermined viewing positions.","1. A telesuite comprising: a camera rotatable about at least one axis, said camera being rotatably mounted to a fixed structure; a plurality of predetermined viewing positions, each of said predetermined viewing positions comprising a predetermined coordinate upon which the camera is focused; and a camera controller configured to rotate said camera to view a designated one of the predetermined viewing positions upon receipt of a control signal corresponding to the designated one of the predetermined viewing positions, wherein said camera is rotatable about at least two axes, wherein said at least two axes comprise a substantially horizontal axis and a substantially vertical axis, and wherein one of said plurality of predetermined viewing positions comprises a patient viewing area.",12,11/223647,2005-09-09,2005,2006-0051084,2006-03-09,7500795,2009-03-10,Paul Sandhu,Gurpal Sandhu,,,4.91E+12
P,System and Method for Providing Health Care Services,"A system and method are provided for providing health care. A plurality of virtual presence devices is arranged to a corresponding plurality of customer residences, each comprising a display device; an input device having a user interface permitting selection of an available service; a camera and microphone for interactive audiovisual communication; and a computer device responsive to one of the user interface, the camera, and the microphone, to facilitate the interactive audiovisual communication over an IPTV data network. A health care contact center is in communication with the virtual presence devices, and comprises an IPTV transceiver device configured to interact and audiovisually communicate with the virtual presence devices; and a processing device for receiving one of a contact request, patient data, and a telemedicine measurement from any of the virtual presence devices, and to form an audiovisual memo therefrom for facilitating flow of patient communication to consulting personnel.","1. A system for providing health care using virtual presence, comprising: a plurality of virtual presence devices arranged to a corresponding plurality of residences of health care customers, each virtual presence device further comprising: a display device configured to display video data; an input device having a user interface and configured to control the display device and permit a selection of a service available through the display device via the user interface; a camera and a microphone for facilitating interactive audiovisual communication; and a computer device operably engaged with the display device, the input device, the camera, and the microphone, the computer device being configured to be responsive to at least one of the user interface, the camera, and the microphone, and to facilitate the interactive audiovisual communication over an IPTV data network; and a health care contact center in communication with the virtual presence devices, and comprising: an IPTV transceiver device configured to be capable of interactively and audiovisually communicating with the virtual presence devices; and a processing device in communication with the IPTV transceiver device and configured to receive at least one of a contact request, patient data, and a telemedicine measurement from any of the virtual presence devices, and to form an audiovisual memo therefrom, the audiovisual memo being adapted to facilitate flow of patient communication to consulting personnel.",10,12/062840,2008-04-04,2008,2009-0012373,2009-01-08,,,Laurea ammattikorkeakoulu Oy,Katariina Elisabet Raij | Arja Leena Piirainen | Sinikka Lehto Paula | Pasi Nissinen | Jussi Tapio Kokkila,,,5.41E+12
P,Mobile Telemedicine Vehicle,"A mobile telemedicine device for use in disasters and emergency response comprising four or more wheels connected to a drive train and a main compartment. The main compartment comprises an interior portion and an exterior portion and a supplemental compartment connected to the main compartment. Communications ports are connected to the exterior, and the supplemental compartment. Patient care tables are located in the main compartment. A method for using an all terrain mobile telemedicine vehicle, first driving the mobile telemedicine device to a disaster or emergency location and lowering and deploying a vehicle from the storage compartment to search for patients in need of medical services.","1. A mobile telemedicine device comprising: a) four or more wheels connected to a drive train which is connected to an engine that provides the four or more wheels power from an engine simultaneously; b) a main compartment connected to the four or more wheels, the main compartment comprising an interior portion and an exterior portion; c) a supplemental compartment connected to the main compartment; d) one or more than one automatic leveling hydraulic jack connected to the exterior portion of the main compartment; e) one or more than one communications port connected to the exterior portion of the main compartment, and further connected to the supplemental compartment; f) one or more than one patient care table affixed to the interior portion of the main compartment; g) one or more than one communications center connected to the interior portion of the main compartment; and h) one or more than one patient bed affixed to the interior portion of the main compartment.",37,12/067547,2007-09-07,2007,2008-0264708,2008-10-30,,,LOMA LINDA UNIVERSITY MEDICAL CENTER,Jeff T. Grange | Stephen W. Corbett,,,5.41E+12
P,System and method for data management in a linear-array-based microscope slide scanner,"A data management system and method for processing, storing, and viewing the extremely large imagery data that is rapidly produced by a linear-array-based microscope slide scanner is provided. The system receives, processes, and stores imagery data produced by the linear-array-based microscope slide scanner at approximately 3 GB per minute. The data are received as a series of overlapping image stripes and combined into a seamless and contiguous baseline image. The baseline image is logically mapped into a plurality of regions that are individually addressed to facilitate viewing and manipulation of the baseline image. The data management system enables imagery data compression while scanning and capturing new image stripes. This advantageously eliminates the overhead associated with storing uncompressed image stripes. The image compression also creates intermediate level images, thereby organizing the baseline image into a variable level pyramid structure referred to as a virtual slide. The data management system efficiently converts image stripes into a high quality virtual slide that allows rapid panning and zooming by image viewing software in accordance with the individually addressed regions. The virtual slide also allows efficient processing by an algorithm framework. The data management system is costs effective and saleable, employs standard image file formats and supports the use of virtual slides in desirable applications such as telemedicine, telepath logy, microscopy education, and the analysis of high value specimens such as tissue arrays.","1. A computer implemented method for managing imagery data produced by a line scan camera, comprising: receiving a first stripe of imagery data from a line scan camera and storing the first stripe in a buffer memory, the first stripe having a length and a width, the length being greater than the width, the first stripe having a first edge along the length and a second edge along the length; copying a first plurality of image portions from the first stripe, each of said first plurality of image portions having an edge substantially near the first edge of the first stripe; storing each of the first plurality of image portions as an image tile in a virtual slide image file; receiving a second stripe of imagery data from a line scan camera and storing the second stripe in a buffer memory, the second stripe having a length and a width, the length being greater than the width, the second stripe having a first edge along the length and a second edge along the length, wherein the first edge of the second stripe overlaps the second edge of the first stripe to define a first overlap area; aligning the second stripe with the first stripe; copying a second plurality of image portions from the first stripe, each of said second plurality of image portions comprising a portion of imagery data from the first overlap area; and storing each of the second plurality of image portions as an image tile in the virtual slide image file.",13,11/379648,2006-04-21,2006,2007-0036462,2007-02-15,7428324,2008-09-23,"Aperio Technologies, Inc.",Greg J. Crandall | Ole Eichhorn | Allen H. Olson | Dirk G. Soenksen,,,4.91E+12
P,"System and method self enabling customers to obtain refraction specifications for, and purchase of, previous or new fitted eyeglasses","A system and method for obtaining a sight screening as well as previous and current optical prescriptions (specifications) for virtual try-on and purchase of glasses and contact lenses operated by one's self, through a voice-activated response self-refraction, or a technician/optician assisted refraction, at a convenient location or possibly several different customer diagnostic, electronic store locations where digital instruments interface and may transfer either directly back to the customer, or to a remote, interactive audio-video diagnosing and assisting, consulting eye doctor (ophthalmologist or optometrist) who interprets the digital data, diagnoses, consults, delivers health care, and authorizes the specifications, whereby the store technician/optician gathers data for purchase and electronically sends the data to a lens lab for fabrication and delivery of glasses or contact lenses to the store or directly to the customer; and, the customer can purchase selected glasses or contact lenses from any internet PC address, whereby the technician provides the customer with a CD containing customer data and digital imaging for reorders either through a PC or a selected retail location.","1. A system enabling a customer to obtain a sight screening as well as a fitting and optical prescription for glasses or contact lenses through digital instruments and optical equipment utilized by the customer through voice-activated response, or a technician/optician which provides a virtual refraction and try-on fitting for frames and lenses, and/or an on-line, remote eye doctor (ophthalmologist or optometrist), and information to purchase glasses or contact lenses from a convenient optical store location or at home through a PC, the system comprising: A) at least one customer diagnostic location to determine a screening for sight and for the optical specifications or prescription using electronic and/or wave-front, refracting ophthalmic instruments, and also to determine a correct fitting for frames and lenses through a virtual try-on, electronic, digital-imager that provides proportionate, to-scale facial, head, eye, and pupil images, and frame and lens color, style, and size choice changes, along with customer ID, data stored on CD, and ordering information to purchase eyeglasses and contact lenses; B) a remote, on-line eye doctor, who through an interfaced, tele-health system, has means to consult, diagnose, interpret, treat, and transfer health, optical, or medical data and provide results of sight and vision screening, refractive error, and lens prescription and specifications obtained through digital imaging devices, electronic and/or wave-front auto-lensometer, so that the customer may choose and purchase eyeglasses; or, a voice-activated, computerized response self-refracting system unassisted by technician and/or eye doctor. The system interfaces an auto-refractometer and auto-phoropter instruments to provide data to the remote eye doctor to determine specifications for new prescription eyeglasses, and is responsive to said information for providing the customer with the eye doctor's electronic signature and specifications for purchases of prescription optical lenses. C) without an on-line eye doctor where the customer interacts directly with interfaced auto-refractometer, auto-lensometer, and auto-phoropter instruments through a voice-activated system that drives an integrated, interfaced computer based on the customer's subjective refractive responses and also findings of objective auto-phoropter, auto-lensometer, and auto-refractometer instruments findings, in order to provide specifications for previous specifications for eyeglasses, and/or current refraction or new specifications for eyeglasses or contact lenses, and where the customer interacts with digital imaging devices, with or without an interrogator, so that the customer may choose and purchase eyeglasses and contact lenses, either from a convenient location or elsewhere on a PC.",4,11/707237,2007-02-16,2007,2008-0198328,2008-08-21,,,,Joseph S. Seriani | Hal E. Wilson,,,5.41E+12
